orgname,orgref,superuser,user,password
pforgdiv-lly53,CBLCO0X,pforgdiv-lly53-su@mailtest.gov.uk,pforgdiv-lly53-user0@mailinator.com
pforgdiv-lly53,CBLCO0X,pforgdiv-lly53-su@mailtest.gov.uk,pforgdiv-lly53-user1@mailinator.com
pforgdiv-lly53,CBLCO0X,pforgdiv-lly53-su@mailtest.gov.uk,pforgdiv-lly53-user2@mailinator.com
pforgdiv-lly53,CBLCO0X,pforgdiv-lly53-su@mailtest.gov.uk,pforgdiv-lly53-user3@mailinator.com
pforgdiv-lly53,CBLCO0X,pforgdiv-lly53-su@mailtest.gov.uk,pforgdiv-lly53-user4@mailinator.com
pforgdiv-cvfou,DLUGBAS,pforgdiv-cvfou-su@mailtest.gov.uk,pforgdiv-cvfou-user0@mailinator.com
pforgdiv-cvfou,DLUGBAS,pforgdiv-cvfou-su@mailtest.gov.uk,pforgdiv-cvfou-user1@mailinator.com
pforgdiv-cvfou,DLUGBAS,pforgdiv-cvfou-su@mailtest.gov.uk,pforgdiv-cvfou-user2@mailinator.com
pforgdiv-cvfou,DLUGBAS,pforgdiv-cvfou-su@mailtest.gov.uk,pforgdiv-cvfou-user3@mailinator.com
pforgdiv-cvfou,DLUGBAS,pforgdiv-cvfou-su@mailtest.gov.uk,pforgdiv-cvfou-user4@mailinator.com
